State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
900,1/13/2020,-1.76,-5.43,-13.8,-5.23,-2.76,0.896,0.467,-3.25,-3.66
2500,1/13/2020,-0.216,-2.46,-14.2,-2.26,0.312,3.72,-1.92,0.282,0.166
3400,1/13/2020,-0.562,-3.87,-11.6,0.646,-0.618,4.83,1.21,0.226,1.09
3600,1/13/2020,-0.376,-3.69,-13.9,-1.45,-0.882,7.86,-0.074,-0.542,-0.247
4400,1/13/2020,-1.84,-15.1,-21.1,-5.95,-0.105,1.23,-30.9,-4.52,-9.58
900,1/14/2020,0.631,-2.73,-8.07,-2.5,0.724,0.326,5.62,-0.206,-0.991
2500,1/14/2020,1.24,-2.35,-10.1,-0.581,3.83,4.86,-0.279,2.02,-0.309
3400,1/14/2020,0.885,-3.54,-9.33,0.152,0.371,3.36,3.2,0.337,0.345
3600,1/14/2020,0.425,-2.36,-10.4,-0.228,0.754,10.8,-1.91,0.413,-0.0001
4400,1/14/2020,0.0842,-12.1,-33.9,-6.86,4.16,-2.64,-25,-2.74,-10.7
900,1/15/2020,1.48,-3.42,-0.54,-1.1,1.64,3.19,2.32,0.262,-0.9
2500,1/15/2020,2.13,-1.94,-8.31,1.24,6.19,11.4,0.494,3.79,0.675
3400,1/15/2020,1.16,-3.4,-5.42,-1.16,0.454,3.84,5.3,-0.396,-1.19
3600,1/15/2020,1.34,-1.91,-3.98,0.254,2.54,10.2,-2.54,1.59,0.544
4400,1/15/2020,1.85,-9.48,-25.5,-2.43,5.23,-6.51,-27.5,0.985,-4.08
900,1/16/2020,1.15,-3.06,-4.35,-1.35,2.51,1.58,6,0.375,-1.41
2500,1/16/2020,2.02,-0.707,-8.45,2.01,6.54,9.4,-1.77,3.88,0.367
3400,1/16/2020,0.388,-3.13,-4.17,-2.54,0.685,-3.91,2.91,-0.732,-2.07
3600,1/16/2020,0.985,-1.47,-5.15,0.33,3.34,7.06,-0.0408,1.93,0.386
4400,1/16/2020,-2.57,-4.56,-9.08,-7.17,5.29,-10.4,-9.54,0.608,-4.96
900,1/17/2020,0.96,-2.55,-1.24,-2.21,1.93,0.195,10,0.574,-0.601
2500,1/17/2020,0.23,-0.953,-7.43,-2.09,4.31,8.02,0.308,1.53,-2.2
3400,1/17/2020,-1.46,-3.16,-3.2,-3.96,-1.05,-1.14,1.56,-2.19,-3.27
3600,1/17/2020,-0.33,-1.02,-1.29,-2.99,0.628,0.922,1.51,-0.497,-1.73
4400,1/17/2020,-2.2,-1.42,-8.93,-1.85,9.18,-14.3,5.83,4.86,-0.318
900,1/18/2020,0.756,-4.34,-1.93,-4.38,3.47,1.93,12.3,0.757,-1.49
2500,1/18/2020,-0.113,-2.49,-7.24,-2.38,4.32,0.084,-1.64,1.28,-2.8
3400,1/18/2020,-0.848,-3.49,0.135,-4.84,-0.667,-1.23,2.77,-2.6,-4.48
3600,1/18/2020,-0.818,-2.45,0.168,-4.94,-1.07,-1.18,5.09,-2.81,-4.63
4400,1/18/2020,3.04,-4.26,-3.92,-1.07,6.09,-18.1,13.2,3.18,-0.451
900,1/19/2020,0.908,-1.37,3.26,-4.76,-0.528,0.76,6.23,-1.51,-2.25
2500,1/19/2020,0.305,-0.323,4.47,-0.748,-0.0787,1.47,4.07,-0.569,-1.15
3400,1/19/2020,0.464,-0.0305,8.08,-3.11,-0.162,-1.65,3.22,-1.69,-3.11
3600,1/19/2020,0.938,0.831,4.41,-1.87,-0.332,-1.14,6.74,-0.997,-1.62
4400,1/19/2020,-0.226,-0.189,-4.86,2.26,0.264,-22,23.4,2.31,4.46
900,1/20/2020,7.7,8.48,5.02,7.82,11.6,1.47,3.12,10.8,10.1
2500,1/20/2020,7.13,6.33,11.9,9.9,11.6,0.812,15,10.2,8.01
3400,1/20/2020,3.32,3.44,9.79,1.28,5.91,3.13,3.61,3.44,1.08
3600,1/20/2020,5.96,5.9,6.63,5.78,8.71,1.64,11.2,7.27,5.65
4400,1/20/2020,4.44,10.2,36.6,13.5,6.06,-20,45.1,9.92,14.4
900,1/21/2020,11.4,11.6,12.4,7.37,13.8,7.59,4.85,9.82,6.59
